Price,Adj Close,Close,High,Low,Open,Volume
Ticker,^NDX,^NDX,^NDX,^NDX,^NDX,^NDX
Date,,,,,,
1985-10-01,112.1399994,112.1399994,112.1600037,110.5650024,110.6200027,153160000
1985-10-02,110.8249969,110.8249969,112.5400009,110.7799988,112.1399994,164640000
1985-10-03,110.8700027,110.8700027,111.1849976,110.1200027,110.8399963,147300000
1985-10-04,110.0749969,110.0749969,110.8700027,109.8550034,110.8700027,147900000
1985-10-07,108.1999969,108.1999969,110.1350021,108.1750031,110.0749969,128640000
1985-10-08,107.1600037,107.1600037,108.2699966,106.75,108.1999969,144100000
1985-10-09,108.6299973,108.6299973,108.9899979,107.1149979,107.1600037,156200000
1985-10-10,109.4349976,109.4349976,109.5100021,107.8099976,108.6299973,154840000
1985-10-11,111.0500031,111.0500031,111.1200027,109.4250031,109.4349976,158220000
1985-10-14,113.1849976,113.1849976,113.2699966,111.0500031,111.0500031,123120000
1985-10-15,113.3799973,113.3799973,113.9800034,112.7900009,113.1849976,171360000
1985-10-16,114.3150024,114.3150024,114.3399963,113.1999969,113.3799973,175120000
1985-10-17,114.7399979,114.7399979,115.3399963,114.3150024,114.3150024,190940000
1985-10-18,114.3199997,114.3199997,114.9649963,113.8300018,114.7399979,180880000
1985-10-21,113.6800003,113.6800003,114.4550018,113.6500015,114.3199997,142800000
1985-10-22,114.4400024,114.4400024,114.8899994,113.4250031,113.8000031,157740000
1985-10-23,115.0650024,115.0650024,115.5250015,114.4400024,114.4400024,202200000
1985-10-24,115.4850006,115.4850006,116.1050034,115.0650024,115.0650024,190860000
1985-10-25,113.9100037,113.9100037,115.5449982,113.7399979,115.4850006,165840000
1985-10-28,113.8199997,113.8199997,113.9100037,113.2050018,113.9100037,131460000
1985-10-29,115.4000015,115.4000015,115.7350006,113.8050003,113.8199997,163400000
1985-10-30,115.7699966,115.7699966,116.125,115.3399963,115.4000015,196040000
1985-10-31,115.4800034,115.4800034,116.1100006,115.1549988,115.7699966,169920000
